Donation-Recipient Classification,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
"A taxonomy of where charitable dollars land, with payout/transparency traits and where Earthbux fits.",,,,,,
,,,,,,
Tier,Type,Definition,Legal / tax status,Payout requirement,Transparency,Examples
1. Endowed grantmakers (capital warehouses),Independent foundation,"Endowment from one donor/family, governed independently of donor's company; makes grants to other charities.","Private foundation, 501(c)(3)",5% of assets/yr (legal minimum),High - grants itemized on public Form 990-PF,"Gates, Ford, MacArthur"
1. Endowed grantmakers (capital warehouses),Family foundation,Private foundation governed substantially by the donor family.,"Private foundation, 501(c)(3)",5% of assets/yr,High - 990-PF,"Walton Family Fdn, Hewlett"
1. Endowed grantmakers (capital warehouses),Corporate foundation,Funded by a company; grants tied to its industry/communities.,"Private foundation, 501(c)(3)",5% of assets/yr,High - 990-PF,"Wells Fargo Fdn, Novo Nordisk Fdn"
1. Endowed grantmakers (capital warehouses),Operating foundation,Private foundation that runs its OWN programs rather than granting out.,Private operating foundation,Spends on direct programs,High - 990-PF,"Getty Trust, HHMI"
2. Pooled / pass-through vehicles,Community foundation,Public charity pooling many donors' gifts for a geographic area; hosts DAFs and runs local grants.,"Public charity, 501(c)(3)",No legal minimum (but actively grants),Medium - files 990; DAF accounts not itemized,"Silicon Valley CF, Chicago Community Trust"
2. Pooled / pass-through vehicles,National DAF sponsor (commercial),For-profit-affiliated charity holding donor-advised accounts; donor recommends grants over time.,"Public charity, 501(c)(3)",NONE - no payout requirement,Low - no per-account disclosure,"Fidelity Charitable, NPT, DAFgiving360, Vanguard Charitable"
2. Pooled / pass-through vehicles,Single-issue / federated funder,"Pools gifts around one cause or umbrella, regrants to member orgs.","Public charity, 501(c)(3)",No fixed minimum,Medium - 990,"United Way, Global Fund, Jewish federations"
2. Pooled / pass-through vehicles,Giving circle / mutual-aid pool,"Members pool money and collectively decide grants; often small, democratic.",Often fiscally sponsored / 501(c)(3),Distributes ~currently (little warehousing),Varies - often very open to members,"Philanthropy Together circles, mutual aid networks"
3. Direct operating charities,Operating public charity,"Delivers services itself (relief, research, education); the end recipient.","Public charity, 501(c)(3)",Spends on mission directly,High - 990 + program reporting,"Red Cross, GiveDirectly, food banks"
3. Direct operating charities,Institutional endowment,University/hospital holding a permanent investment fund for the institution.,Public charity / institutional,Institution spending policy (~4-5%),Medium-High - audited statements,"Harvard, Mayo Clinic endowments"
4. Other vehicles,Charitable trust (CRT / CLT),"Split-interest trust giving income to charity or donor for a term, remainder to the other.",Split-interest trust,Per trust terms,Low - private instrument,Individual estate trusts
4. Other vehicles,Online giving platform,Tech intermediary routing many small gifts to vetted nonprofits.,Platform + 501(c)(3) backbone,Pass-through,Medium - varies by platform,"GlobalGiving, GoFundMe, Benevity"
4. Other vehicles,Government / multilateral funder,"Public-money grantmaker (not a donation recipient, but a peer funder).",Public body,Appropriated annually,High - public budgets,"USAID-type agencies, WHO, EU funds"
,,,,,,
EARTHBUX SITS HERE >,"Democratic pooled giving + independent media oversight = a transparent, fast-payout hybrid of a giving circle and a community foundation, with a watchdog newsroom (Earthbux News) attached.",,,"Pays out per mission cycle (weeks, not years)","HIGH by design - public votes, public budgets, parallel reporting",
